Date,SNR.L,QQ.L,CHG.L,HOC.L,BAG.L,JMAT.L,VCT.L,ELM.L,KLR.L,KIE.L,MSLH.L,MGNS.L,COA.L,BREE.L,GFRD.L,BBY.L,MGAM.L,DRX.L,RSW.L,SXS.L,OXIG.L,FGT.L,BRSC.L,THRG.L,INVP.L,IPF.L,IGG.L,PAG.L,PPET.L,RAT.L,SOI.L,IPO.L,3IN.L,INPP.L,CBG.L,ASHM.L,ABDN.L,CWK.L,CCR.L,HFG.L,GNC.L,PFD.L,AEP.L,GRG.L,TATE.L,PNN.L,VOF.L,VSVS.L,GDWN.L,BHMG.L,VTY.L,BWY.L,TW.L,RS1.L,ROR.L,BOY.L,AVON.L,ATYM.L,HILS.L,JSG.L,PAY.L,CKN.L,BRGE.L,MRCH.L,ASL.L,MNKS.L,JFJ.L,JII.L,JGGI.L,JEDT.L,EMG.L,BRWM.L,BGFD.L,OCI.L,PHI.L,PEY.L,TRY.L,RCP.L,RICA.L,ATR.L,SDP.L,ATT.L,SAIN.L,MUT.L,JMG.L,LWDB.L,ICGT.L,CTY.L,HSL.L,HRI.L,FSV.L,HGT.L,HICL.L,FEV.L,FEML.L,JAM.L,CGT.L,EOT.L,GSCT.L,IEM.L,EDIN.L,CLDN.L,BUT.L,IAD.L,EWI.L,MEGP.L,CSN.L,FUTR.L,ITV.L,FOUR.L,MONY.L,LRE.L,HTG.L,OXB.L,GNS.L,DLN.L,UTG.L,SVS.L,SAFE.L,SRE.L,BLND.L,GPE.L,BYG.L,GRI.L,HWG.L,HMSO.L,WKP.L,PHP.L,SMWH.L,FRAS.L,DNLM.L,INCH.L,PTEC.L,CCC.L,NCC.L,PINE.L,PAGE.L,GFTU.L,MTO.L,HAS.L,IWG.L,TCAP.L,TPK.L,DSCV.L,SRP.L,TEP.L,JDW.L,MAB.L,CCL.L,FGP.L,PPH.L,DOM.L,RNK.L
2008-12-10,33.1369514465332,169.8758087158203,335.96124267578125,53.53742218017578,201.75323486328125,1132.08642578125,407.90509033203125,69.2585220336914,522.5610961914062,597.7515869140625,75.32925415039062,486.29571533203125,29.446666717529297,77.39087677001953,19.195158004760742,298.382568359375,94.39757537841797,543.5765991210938,512.4222412109375,429.17889404296875,129.70001220703125,184.24404907226562,157.94390869140625,70.73058319091797,186.73455810546875,122.5398178100586,242.70587158203125,40.74626541137695,84.61913299560547,859.4580078125,66.04136657714844,36.8971061706543,139.06011962890625,84.24881744384766,943.3861694335938,124.1584701538086,396.4248352050781,583.1602783203125,123.19938659667969,142.7457275390625,61.305667877197266,155.50372314453125,249.54507446289062,334.19573974609375,474.3013916015625,663.215087890625,86.80624389648438,84.25340270996094,958.5311889648438,130.0,367.3550109863281,580.9094848632812,9.923332214355469,147.1146240234375,79.04474639892578,130.6927947998047,27.442752838134766,190.99595642089844,168.7233428955078,10.214104652404785,533.0026245117188,375.1739807128906,122.64127349853516,285.28350830078125,365.5769348144531,215.26797485351562,145.19114685058594,246.25,89.58318328857422,92.55723571777344,296.70263671875,224.24072265625,131.42672729492188,63.39204025268555,79.68464660644531,1.084206461906433,105.3531723022461,907.9071044921875,133.44439697265625,93.70101165771484,106.6952133178711,18.899999618530273,132.20567321777344,443.7461242675781,29.638315200805664,226.5522918701172,189.2408447265625,209.33474731445312,92.13148498535156,182.94537353515625,75.22063446044922,68.2094497680664,109.2608642578125,94.81819915771484,338.468017578125,126.72457885742188,2086.83203125,105.86129760742188,27.44001579284668,82.87322998046875,313.7104797363281,0.9394128918647766,297.1341857910156,78.1225357055664,28.582250595092773,12.654690742492676,111.24585723876953,197.39987182617188,39.727603912353516,122.63241577148438,48.530067443847656,403.9842529296875,366.761962890625,327.0793151855469,678.6409912109375,731.8724975585938,142.26759338378906,254.2025146484375,39.76446533203125,18.156286239624023,440.964111328125,180.98641967773438,208.89967346191406,56.75764465332031,491.81988525390625,1543.37109375,609.5307006835938,61.48120880126953,370.61248779296875,34.992698669433594,151.89651489257812,117.46908569335938,301.6646423339844,104.02151489257812,46.04106521606445,55.51647186279297,193.87489318847656,190.24795532226562,114.4859390258789,71.00900268554688,50.12590789794922,142.68124389648438,203.35736083984375,68.7553939819336,344.71246337890625,337.7032470703125,306.32537841796875,139.26255798339844,1485.6695556640625,322.384521484375,34.83695983886719,60.95168685913086,60.30300521850586
2008-12-11,33.1369514465332,162.40322875976562,337.1837158203125,62.00103759765625,198.43212890625,1126.5693359375,423.0588073730469,69.2585220336914,550.3779296875,591.07275390625,81.5328598022461,486.29571533203125,29.446666717529297,77.39087677001953,19.35921859741211,296.21575927734375,102.34683990478516,543.080322265625,521.3945922851562,483.6976318359375,133.19190979003906,184.7419891357422,157.4456787109375,75.21346282958984,180.77490234375,132.7101593017578,245.18502807617188,44.224605560302734,85.6146240234375,942.919677734375,65.54476928710938,35.8998908996582,142.19683837890625,84.9922103881836,943.3861694335938,124.40632629394531,370.1807861328125,600.5901489257812,119.70603942871094,142.7457275390625,60.494728088378906,180.05697631835938,250.543212890625,336.08551025390625,463.015380859375,674.3800048828125,86.80624389648438,95.57374572753906,1008.8228149414062,130.0,366.1466064453125,573.9464111328125,9.72486686706543,138.91400146484375,80.38955688476562,132.68052673339844,27.442752838134766,194.74093627929688,185.14773559570312,10.214104652404785,541.3097534179688,370.4501647949219,124.63542938232422,287.2648010253906,364.83074951171875,218.7642059326172,144.69224548339844,247.75,89.38412475585938,91.55982208251953,287.55426025390625,233.170654296875,131.42672729492188,63.39204025268555,77.686279296875,1.0563039779663086,106.84402465820312,911.3970336914062,135.68922424316406,93.70101165771484,104.70091247558594,18.950000762939453,130.71466064453125,456.3960266113281,30.436655044555664,228.0427703857422,187.74676513671875,213.30323791503906,93.37650299072266,178.94656372070312,73.77600860595703,66.9647445678711,110.45111083984375,97.10897064208984,346.45550537109375,125.72676086425781,2086.83203125,109.3567123413086,27.140676498413086,84.6205825805664,317.68133544921875,0.940054714679718,296.3876037597656,78.1225357055664,28.68218994140625,12.902824401855469,108.88804626464844,194.21600341796875,38.73442077636719,124.37013244628906,49.520477294921875,410.8815002441406,423.5701904296875,327.0793151855469,698.6007690429688,746.80859375,145.00827026367188,262.9080505371094,37.7762336730957,18.405004501342773,439.3199157714844,180.98641967773438,222.8263397216797,60.747398376464844,531.3289184570312,1538.7548828125,609.5307006835938,61.48120880126953,361.9010925292969,34.49280548095703,153.88206481933594,119.98633575439453,305.6208190917969,103.08150482177734,45.792633056640625,56.59601593017578,200.0808868408203,183.47467041015625,114.35767364501953,72.99526977539062,50.87403869628906,141.576904296875,209.85726928710938,77.44032287597656,334.2054138183594,337.7032470703125,323.2880554199219,135.2063751220703,1459.74560546875,324.82061767578125,39.81366729736328,59.2931022644043,63.79160690307617
2008-12-12,33.63525390625,162.40322875976562,330.37359619140625,63.18202590942383,194.28089904785156,1070.8480224609375,414.36407470703125,69.2585220336914,523.057861328125,593.0764770507812,75.77238464355469,475.8750915527344,28.54060173034668,77.39087677001953,19.03110122680664,285.1645202636719,93.90074920654297,536.626953125,510.4283142089844,507.8452453613281,137.1826629638672,178.01956176757812,153.9579315185547,72.72297668457031,190.34640502929688,126.26065826416016,227.83116149902344,40.994712829589844,85.6146240234375,911.1245727539062,63.80686950683594,36.8971061706543,136.27203369140625,82.51432037353516,943.3861694335938,123.91067504882812,352.2242126464844,602.08447265625,118.30866241455078,142.7457275390625,57.41322708129883,171.8726043701172,248.54685974121094,332.9026794433594,467.06683349609375,677.7296752929688,84.81072235107422,86.66593933105469,1008.8228149414062,134.5,358.8962097167969,549.5760498046875,8.682914733886719,137.42294311523438,79.19417572021484,123.2388687133789,28.4406795501709,194.44134521484375,179.9218292236328,9.466731071472168,526.03515625,318.239013671875,120.64710235595703,281.5689697265625,356.1266174316406,214.7685546875,138.7050018310547,240.0,86.69664001464844,88.9167709350586,243.04888916015625,218.28744506835938,125.92979431152344,63.39204025268555,76.9368896484375,0.960638701915741,103.61384582519531,900.4282836914062,135.68922424316406,90.21215057373047,99.96442413330078,18.549999237060547,124.75043487548828,438.53717041015625,29.13935661315918,218.6030731201172,187.49781799316406,204.87033081054688,92.62948608398438,169.199462890625,70.33878326416016,67.46261596679688,108.07073211669922,93.72261810302734,340.7638244628906,118.94149780273438,2086.83203125,107.85868072509766,26.990991592407227,81.6251449584961,309.2429504394531,0.9297875165939331,288.17547607421875,76.62974548339844,27.682811737060547,12.406559944152832,111.674560546875,206.9514617919922,36.996337890625,125.11487579345703,44.568416595458984,408.1718444824219,409.61737060546875,338.4559020996094,689.6189575195312,676.608642578125,141.27098083496094,242.51222229003906,40.510040283203125,17.907575607299805,428.2239685058594,173.44529724121094,213.87351989746094,59.07426834106445,495.9070739746094,1487.2064208984375,550.1959228515625,59.47476577758789,367.625732421875,31.99332618713379,156.36410522460938,118.72770690917969,304.1372375488281,101.20158386230469,48.02836990356445,49.03955078125,200.57733154296875,171.7211456298828,112.4346694946289,70.51244354248047,50.12590789794922,132.74221801757812,223.97158813476562,75.26911163330078,342.08563232421875,330.75048828125,318.5484924316406,132.72760009765625,1408.8939208984375,320.7604064941406,44.790382385253906,59.04433822631836,65.03751373291016
2008-12-15,32.88779830932617,164.14682006835938,340.5014343261719,65.34712219238281,198.9302978515625,1123.2591552734375,429.269287109375,69.2585220336914,535.9729614257812,585.0618896484375,75.77238464355469,481.0853271484375,28.54060173034668,77.39087677001953,19.523279190063477,285.8145751953125,90.67134857177734,512.3024291992188,512.4222412109375,532.73974609375,134.68844604492188,181.2563018798828,157.94390869140625,74.46635437011719,189.98521423339844,125.02039337158203,228.07904052734375,43.23078536987305,85.6146240234375,926.5254516601562,66.28964233398438,37.39575958251953,132.08969116210938,83.7532730102539,943.3861694335938,126.63671875,366.0369567871094,582.6622924804688,115.7469253540039,142.7457275390625,58.71072006225586,175.14630126953125,240.5614776611328,342.1528015136719,469.0924987792969,674.3800048828125,85.8084716796875,78.87161254882812,1033.7198486328125,130.0,365.6631774902344,566.9833374023438,9.496630668640137,138.16851806640625,80.98722839355469,121.25111389160156,28.4406795501709,179.76092529296875,179.17523193359375,9.466731071472168,541.3097534179688,375.9198913574219,119.89930725097656,287.2648010253906,362.0953063964844,218.7642059326172,142.6964874267578,242.25,83.81004333496094,89.46533966064453,250.96095275878906,220.27188110351562,131.42672729492188,63.39204025268555,79.93444061279297,0.960638701915741,103.61384582519531,919.3744506835938,135.9386444091797,93.20260620117188,99.71514892578125,18.450000762939453,122.2653579711914,436.11090087890625,29.313993453979492,218.35462951660156,181.2727813720703,205.36631774902344,97.85857391357422,167.94981384277344,73.02880859375,69.45413970947266,111.4032974243164,95.11699676513672,344.458740234375,116.34711456298828,2096.816650390625,110.35540008544922,27.240447998046875,83.37249755859375,316.44049072265625,0.9349209666252136,292.65478515625,79.36652374267578,28.582250595092773,12.902824401855469,111.4602279663086,200.5837860107422,35.75484085083008,122.63241577148438,44.320804595947266,403.7378845214844,457.45587158203125,331.8196105957031,692.6129150390625,704.9874877929688,148.4964599609375,247.4868621826172,41.25562286376953,18.405004501342773,443.42974853515625,177.97000122070312,210.3917999267578,59.20305633544922,490.4575500488281,1541.832275390625,508.8412170410156,61.03533172607422,363.3944091796875,34.49280548095703,154.87490844726562,85.16512298583984,305.12628173828125,103.39482879638672,47.20030975341797,40.71213150024414,199.5843963623047,178.494384765625,113.33209228515625,71.00900268554688,48.13084411621094,123.46573638916016,217.6572265625,77.44032287597656,351.5823974609375,319.82476806640625,311.56390380859375,137.00912475585938,1389.94921875,303.50433349609375,44.790382385253906,59.70777130126953,64.78834533691406
2008-12-16,33.1369514465332,159.9123992919922,341.89825439453125,69.2836685180664,195.9413299560547,1154.1544189453125,439.2060852050781,69.2585220336914,555.3452758789062,570.7025146484375,76.880126953125,506.14447021484375,28.54060173034668,72.39798736572266,19.523279190063477,288.19818115234375,104.83100891113281,535.6339721679688,498.46514892578125,546.6805419921875,132.6930694580078,183.74607849121094,158.44215393066406,73.47012329101562,184.20620727539062,126.26065826416016,233.28518676757812,42.23696517944336,85.11688232421875,894.2333984375,65.04829406738281,37.89442443847656,129.99851989746094,83.25770568847656,943.3861694335938,128.8671112060547,367.41815185546875,577.68212890625,122.03496551513672,142.7457275390625,60.81915283203125,181.69387817382812,253.03871154785156,342.1528015136719,455.491455078125,698.94384765625,84.81072235107422,82.02635955810547,1020.7733154296875,127.0,370.98028564453125,568.4756469726562,9.72486686706543,140.90203857421875,82.28226470947266,123.2388687133789,28.93963623046875,188.149658203125,177.4332733154297,9.466731071472168,546.13330078125,353.04638671875,121.14566040039062,296.1797790527344,363.0899658203125,216.76638793945312,140.70074462890625,252.0,86.69664001464844,91.55982208251953,237.362060546875,220.02377319335938,133.92530822753906,63.39204025268555,79.93444061279297,0.9526664018630981,106.84402465820312,949.2889404296875,135.9386444091797,92.4549789428711,99.71514892578125,18.450000762939453,124.00492095947266,450.9953308105469,29.837894439697266,222.5776824951172,192.2288055419922,209.8308563232422,101.09561920166016,167.94981384277344,72.92915344238281,65.72003936767578,109.97494506835938,95.61500549316406,344.4589538574219,116.04779815673828,2096.816650390625,111.60376739501953,27.1905574798584,85.11981201171875,319.1705627441406,0.9368463158607483,292.15704345703125,77.87373352050781,28.68218994140625,13.15095329284668,112.53194427490234,206.9514617919922,37.244625091552734,124.37013244628906,45.80644607543945,394.86993408203125,455.9609375,308.1181945800781,702.0940551757812,716.9363403320312,143.5133514404297,248.7305145263672,43.492366790771484,17.41014289855957,440.964111328125,179.4781951904297,223.8210906982422,58.30210876464844,495.9070739746094,1544.909912109375,492.6590576171875,57.44355773925781,354.93182373046875,35.7425422668457,144.94700622558594,84.74560546875,315.5115051269531,100.57500457763672,47.20030975341797,37.010955810546875,202.3150177001953,180.98455810546875,111.66536712646484,71.25729370117188,50.62467575073242,118.16481018066406,219.51443481445312,75.26911163330078,342.6918029785156,316.84503173828125,312.56170654296875,144.6707305908203,1415.873779296875,318.32427978515625,44.790382385253906,58.7126579284668,65.03751373291016
2008-12-17,34.133541107177734,166.38861083984375,338.58062744140625,74.79491424560547,192.62030029296875,1190.566650390625,431.5050354003906,69.2585220336914,531.5020751953125,586.7315673828125,78.65254211425781,510.6104736328125,29.446666717529297,72.39798736572266,19.03110122680664,298.5992431640625,105.82463836669922,522.7271728515625,488.74505615234375,537.220458984375,132.19422912597656,182.25221252441406,162.9263916015625,74.2173080444336,187.8180389404297,142.6324005126953,231.30194091796875,42.23696517944336,85.11688232421875,914.1054077148438,65.54476928710938,36.8971061706543,123.02814483642578,84.7444839477539,943.3861694335938,133.82357788085938,359.13067626953125,547.802001953125,127.39149475097656,145.23257446289062,59.19725799560547,191.51515197753906,259.0277404785156,337.7763977050781,475.16949462890625,696.3385009765625,84.31180572509766,89.07843017578125,1063.595947265625,122.0,392.2481994628906,587.3750610351562,10.419498443603516,139.16249084472656,80.2899398803711,122.49345397949219,28.93963623046875,184.25489807128906,178.6775360107422,9.596277236938477,552.0287475585938,372.9363708496094,124.38614654541016,292.2175598144531,368.06378173828125,220.76205444335938,143.19540405273438,249.0,86.89569854736328,94.85122680664062,234.1478271484375,230.1939697265625,134.42506408691406,63.39204025268555,78.93527221679688,1.0244152545928955,112.80741882324219,967.2377319335938,136.43746948242188,93.70101165771484,102.45731353759766,18.399999618530273,124.9989013671875,457.2525329589844,29.987594604492188,224.56494140625,175.2967987060547,212.31109619140625,106.07569885253906,172.6984100341797,72.72989654541016,64.525146484375,109.49898529052734,99.69855499267578,354.43505859375,117.344970703125,2096.816650390625,114.84951782226562,27.44001579284668,88.86407470703125,321.1561279296875,0.9432628154754639,291.41046142578125,78.86892700195312,28.88206672668457,13.15095329284668,118.53361511230469,200.5837860107422,36.996337890625,119.15703582763672,48.530067443847656,402.9989318847656,448.4862060546875,322.3389892578125,695.6069946289062,714.4468994140625,141.52008056640625,224.8523406982422,47.71735763549805,17.41014289855957,440.1420593261719,183.24874877929688,225.56190490722656,61.77703857421875,504.0813293457031,1644.9285888671875,490.861083984375,59.028900146484375,348.7092590332031,38.49197006225586,138.9902801513672,77.61351776123047,319.46771240234375,103.39482879638672,47.82138442993164,35.468849182128906,207.52806091308594,183.47467041015625,112.3064193725586,73.74011993408203,49.87651824951172,115.51445007324219,225.0858917236328,69.84099578857422,348.1473693847656,296.9801940917969,306.07586669921875,139.9385528564453,1441.798095703125,318.52728271484375,39.81366729736328,58.7126579284668,64.28998565673828
2008-12-18,34.6318359375,161.65597534179688,345.73980712890625,74.79491424560547,203.41368103027344,1196.0833740234375,452.869140625,69.2585220336914,544.4171752929688,598.0855102539062,79.53883361816406,585.0435791015625,29.446666717529297,72.39798736572266,19.687328338623047,296.432373046875,115.76123809814453,531.16650390625,504.4466857910156,520.7902221679688,132.6930694580078,184.24404907226562,163.92294311523438,74.2173080444336,208.0446014404297,151.5625,236.01226806640625,40.994712829589844,85.6146240234375,893.240234375,66.78617858886719,38.39297866821289,129.6501007080078,84.9922103881836,943.3861694335938,137.78863525390625,324.59881591796875,582.6622924804688,123.4322738647461,145.23257446289062,61.62997055053711,196.42575073242188,262.0223083496094,351.1044616699219,475.4589538574219,717.1802368164062,81.81737518310547,102.81138610839844,1096.4598388671875,120.5,404.81561279296875,600.8036499023438,11.411832809448242,144.38113403320312,78.34745788574219,122.99037170410156,28.93963623046875,181.25892639160156,179.67295837402344,9.596277236938477,561.1396484375,372.9363708496094,126.13105773925781,286.76953125,369.8046569824219,220.76205444335938,139.9523468017578,252.0,89.08551788330078,96.74625396728516,237.1148223876953,236.64332580566406,135.17465209960938,63.39204025268555,80.93360900878906,0.9805687069892883,114.7951889038086,973.2206420898438,137.9341278076172,99.43273162841797,105.44877624511719,18.5,126.73848724365234,462.462646484375,30.86077308654785,231.52056884765625,167.32867431640625,212.31109619140625,112.54979705810547,172.44850158691406,76.51583862304688,65.02301788330078,109.97494506835938,101.98934173583984,361.7311096191406,119.93933868408203,2096.816650390625,115.3488540649414,26.74153709411621,93.8564453125,324.630615234375,0.93877112865448,292.15704345703125,80.3616943359375,29.681570053100586,11.910298347473145,114.4610824584961,206.9514617919922,38.486122131347656,127.10081481933594,50.5108757019043,405.4622802734375,443.5030212402344,319.9689025878906,697.6029052734375,728.8851318359375,137.28443908691406,223.1112060546875,52.68790817260742,17.41014289855957,464.3890075683594,189.2816619873047,238.24510192871094,65.12327575683594,501.3565673828125,1684.9365234375,478.27490234375,61.72891616821289,344.2290954589844,40.99144744873047,140.97579956054688,78.87212371826172,321.1986083984375,117.80746459960938,49.022071838378906,30.84250831604004,213.2376251220703,178.494384765625,110.25513458251953,71.75383758544922,51.37282180786133,117.72313690185547,229.9144744873047,69.84099578857422,360.87701416015625,305.9194030761719,299.8396911621094,143.54408264160156,1437.8094482421875,330.7080078125,39.81366729736328,58.7126579284668,64.78834533691406
2008-12-19,34.6318359375,150.9453125,353.94671630859375,75.1885986328125,224.6684112548828,1234.702392578125,467.0290832519531,69.2585220336914,531.5020751953125,580.720703125,74.66453552246094,643.5975952148438,29.446666717529297,69.90148162841797,20.179506301879883,288.41485595703125,111.53815460205078,530.1734008789062,475.28643798828125,497.8874206542969,138.67916870117188,187.72975158691406,175.1334228515625,73.71917724609375,218.3385009765625,152.05857849121094,237.74765014648438,43.23078536987305,77.65046691894531,860.9482421875,69.02066040039062,38.89163589477539,114.31510162353516,79.78861236572266,943.3861694335938,138.77993774414062,297.31866455078125,657.3624267578125,133.21377563476562,152.4445343017578,60.33259963989258,186.60447692871094,267.51226806640625,339.5667419433594,477.7740173339844,701.1769409179688,80.81959533691406,96.13053131103516,1115.3814697265625,120.0,382.0975646972656,587.8724975585938,12.652251243591309,144.1326141357422,75.30919647216797,116.5302963256836,28.93963623046875,180.00057983398438,201.07440185546875,9.347150802612305,570.2509765625,362.9913330078125,128.6237335205078,287.2648010253906,358.11627197265625,214.7685546875,157.4151611328125,241.5,92.56932830810547,94.95096588134766,232.4170379638672,231.9303436279297,138.9225311279297,63.39204025268555,82.68218231201172,0.9407085180282593,112.06199645996094,962.2517700195312,139.4306182861328,98.68511199951172,108.68951416015625,18.899999618530273,131.21157836914062,436.6600036621094,28.839975357055664,220.59036254882812,178.2847442626953,206.35841369628906,112.54979705810547,173.9480438232422,84.68547821044922,66.91494750976562,109.02285766601562,97.10897064208984,361.7319030761719,129.7180938720703,2096.816650390625,118.84429931640625,27.140676498413086,93.60682678222656,316.6884765625,0.9169540405273438,300.6182861328125,83.09849548339844,29.98138427734375,10.173380851745605,111.4602279663086,210.13536071777344,38.486122131347656,127.10081481933594,51.0060920715332,409.64984130859375,420.8294677734375,317.12469482421875,698.6007690429688,746.80859375,130.5572967529297,218.8828582763672,54.67613220214844,13.181963920593262,457.4024353027344,187.3963623046875,244.46234130859375,62.93535614013672,483.6455993652344,1654.1612548828125,478.27490234375,61.20872497558594,344.97576904296875,41.74129104614258,146.9325714111328,77.19400024414062,313.0389404296875,110.91446685791016,51.3406982421875,21.589750289916992,215.96815490722656,174.41053771972656,108.71674346923828,71.00900268554688,51.12343978881836,119.71087646484375,229.54302978515625,72.37405395507812,367.1410217285156,318.3349914550781,307.32318115234375,141.96664428710938,1491.65234375,329.6930236816406,39.81366729736328,57.5516357421875,64.28998565673828
2008-12-22,34.6318359375,153.93434143066406,338.0567321777344,77.1568603515625,224.50230407714844,1167.3953857421875,474.481689453125,69.2585220336914,538.9530639648438,593.0764770507812,77.54483795166016,585.5396118164062,30.35272979736328,69.90148162841797,18.867042541503906,282.5643310546875,107.81195831298828,547.5479125976562,473.7911071777344,504.85784912109375,139.67694091796875,189.7215576171875,175.1334228515625,75.46253204345703,194.13888549804688,148.83380126953125,234.27685546875,40.49781036376953,65.20648193359375,849.52197265625,66.04136657714844,40.88607406616211,112.2239761352539,79.78861236572266,943.3861694335938,138.77993774414062,294.2109069824219,617.5225219726562,132.28216552734375,155.9261474609375,62.278770446777344,188.2413787841797,266.26458740234375,338.17437744140625,471.4075927734375,692.9887084960938,81.3185043334961,95.38817596435547,1070.5670166015625,118.0,374.1221618652344,596.824951171875,14.884998321533203,140.15658569335938,74.81109619140625,110.0701675415039,28.4406795501709,184.25489807128906,196.5950927734375,9.09802532196045,559.5320434570312,362.9913330078125,128.6237335205078,286.76953125,350.1580810546875,207.27664184570312,157.4151611328125,244.5,88.88645935058594,96.84598541259766,222.03244018554688,221.2640380859375,137.92311096191406,63.39204025268555,79.93444061279297,0.9526664018630981,113.55282592773438,889.4595947265625,140.17889404296875,97.68829345703125,103.7037582397461,18.799999237060547,130.9630889892578,447.0802307128906,29.812950134277344,222.5776824951172,180.7747802734375,205.86239624023438,112.30081939697266,171.94862365722656,84.08772277832031,64.67448425292969,106.88050079345703,97.30818176269531,361.7318115234375,125.72676086425781,2096.816650390625,117.84559631347656,27.140676498413086,89.86255645751953,319.6669921875,0.9304293394088745,294.64569091796875,81.10812377929688,29.781505584716797,10.669642448425293,113.17498016357422,197.39987182617188,37.7412223815918,127.10081481933594,52.49168395996094,402.9989318847656,428.5533752441406,317.59869384765625,692.6129150390625,736.8514404296875,142.51670837402344,215.15191650390625,52.19084548950195,13.928112030029297,450.82708740234375,188.52755737304688,238.7425079345703,68.9843521118164,501.3565673828125,1587.99462890625,503.447265625,63.958290100097656,341.7402038574219,43.2409782409668,138.9902801513672,71.74008178710938,319.46771240234375,114.98758697509766,50.51264572143555,28.83772850036621,206.0386199951172,176.80113220214844,108.84490203857422,71.25729370117188,49.37776565551758,114.8517837524414,220.6287841796875,64.95572662353516,353.8050842285156,321.811279296875,307.32318115234375,142.6426544189453,1422.853759765625,319.5423278808594,39.81366729736328,57.21996307373047,65.78510284423828
2008-12-23,34.88100051879883,151.19442749023438,340.5014343261719,75.1885986328125,222.50967407226562,1182.8428955078125,471.0037536621094,69.2585220336914,550.874755859375,607.7696533203125,78.20941925048828,561.7210083007812,31.258792877197266,69.90148162841797,19.03110122680664,282.5643310546875,109.79924011230469,555.987060546875,478.27728271484375,522.7819213867188,145.91244506835938,189.7215576171875,178.37205505371094,73.96824645996094,202.0850067138672,146.849365234375,240.4746551513672,43.72768020629883,66.45088195800781,894.2333984375,69.2689208984375,40.88607406616211,119.19438171386719,81.27538299560547,943.3861694335938,138.5321502685547,283.1605529785156,632.4622802734375,131.35060119628906,152.94187927246094,61.305667877197266,189.87826538085938,254.53598022460938,352.09906005859375,476.0377502441406,704.5263671875,71.34077453613281,97.2440185546875,1065.5877685546875,122.19999694824219,382.58099365234375,604.2852783203125,12.652251243591309,142.89012145996094,79.5926284790039,113.54869079589844,28.4406795501709,181.25892639160156,197.34165954589844,8.719356536865234,549.8847045898438,333.1565246582031,129.37159729003906,283.7975769042969,354.38580322265625,204.27984619140625,151.92686462402344,229.5,89.48369598388672,100.1373519897461,218.57095336914062,219.5276336669922,139.92196655273438,63.39204025268555,80.1842269897461,0.9287498593330383,115.0436782836914,920.3713989257812,141.92491149902344,95.44544982910156,103.7037582397461,18.799999237060547,128.2294921875,447.0802307128906,29.488632202148438,224.56494140625,182.5177764892578,215.78346252441406,114.04383087158203,171.94862365722656,84.68547821044922,65.5208969116211,109.97494506835938,97.85596466064453,360.4342956542969,127.722412109375,2096.816650390625,116.3475570678711,27.040874481201172,89.36331176757812,321.1561279296875,0.9432628154754639,295.64105224609375,79.36652374267578,29.781505584716797,10.669642448425293,112.74630737304688,197.39987182617188,37.49292755126953,127.10081481933594,52.49168395996094,402.0135498046875,418.5870056152344,310.4883117675781,703.5909423828125,751.2894897460938,144.50999450683594,218.8828582763672,51.69380187988281,16.16655731201172,466.03265380859375,188.90457153320312,243.71629333496094,69.88529205322266,508.1684265136719,1651.08349609375,467.48663330078125,63.958290100097656,350.2027587890625,40.24160385131836,137.9974822998047,67.12522888183594,304.6318054199219,109.66116333007812,49.68458557128906,25.753501892089844,214.47874450683594,176.80113220214844,108.84490203857422,69.5193099975586,50.87403869628906,116.39791107177734,240.87158203125,70.02191162109375,359.8668212890625,310.63726806640625,307.32318115234375,140.8398895263672,1472.708251953125,321.77545166015625,35.83229446411133,58.380882263183594,67.77859497070312
