start_date,end_date,n_stocks,cluster
2015-12-01,2015-12-30,153,0
2015-12-15,2016-01-14,153,2
2015-12-31,2016-01-28,153,2
2016-01-15,2016-02-11,153,2
2016-01-29,2016-02-25,153,2
2016-02-12,2016-03-10,153,2
2016-02-26,2016-03-24,153,0
2016-03-11,2016-04-11,153,1
2016-03-29,2016-04-25,153,1
2016-04-12,2016-05-10,153,1
2016-04-26,2016-05-24,153,1
2016-05-11,2016-06-08,153,0
2016-05-25,2016-06-22,153,2
2016-06-09,2016-07-06,153,2
2016-06-23,2016-07-20,153,2
2016-07-07,2016-08-03,153,2
2016-07-21,2016-08-17,153,0
2016-08-04,2016-09-01,153,1
2016-08-18,2016-09-15,153,1
2016-09-02,2016-09-29,153,0
2016-09-16,2016-10-13,153,0
2016-09-30,2016-10-27,153,1
2016-10-14,2016-11-10,153,1
2016-10-28,2016-11-24,153,0
2016-11-11,2016-12-08,153,0
2016-11-25,2016-12-22,153,0
2016-12-09,2017-01-10,153,0
2016-12-23,2017-01-24,153,1
2017-01-11,2017-02-07,153,1
2017-01-25,2017-02-21,153,1
2017-02-08,2017-03-07,153,1
2017-02-22,2017-03-21,153,0
2017-03-08,2017-04-04,153,1
2017-03-22,2017-04-20,153,1
2017-04-05,2017-05-05,153,1
2017-04-21,2017-05-19,153,1
2017-05-08,2017-06-05,153,1
2017-05-22,2017-06-19,153,1
2017-06-06,2017-07-03,153,0
2017-06-20,2017-07-17,153,1
2017-07-04,2017-07-31,153,1
2017-07-18,2017-08-14,153,1
2017-08-01,2017-08-29,153,0
2017-08-15,2017-09-12,153,0
2017-08-30,2017-09-26,153,0
2017-09-13,2017-10-10,153,0
2017-09-27,2017-10-24,153,0
2017-10-11,2017-11-07,153,0
2017-10-25,2017-11-21,153,0
2017-11-08,2017-12-05,153,1
2017-11-22,2017-12-19,153,1
2017-12-06,2018-01-05,153,1
2017-12-20,2018-01-19,153,1
2018-01-08,2018-02-02,153,0
2018-01-22,2018-02-16,153,2
2018-02-05,2018-03-02,153,2
2018-02-19,2018-03-16,153,0
2018-03-05,2018-04-03,153,0
2018-03-19,2018-04-17,153,0
2018-04-04,2018-05-01,153,1
2018-04-18,2018-05-16,153,0
2018-05-02,2018-05-31,153,1
2018-05-17,2018-06-14,153,0
2018-06-01,2018-06-28,153,1
2018-06-15,2018-07-12,153,1
2018-06-29,2018-07-26,153,1
2018-07-13,2018-08-09,153,0
2018-07-27,2018-08-23,153,0
2018-08-10,2018-09-07,153,1
2018-08-24,2018-09-21,153,1
2018-09-10,2018-10-05,153,0
2018-09-24,2018-10-19,153,0
2018-10-08,2018-11-02,153,2
2018-10-22,2018-11-16,153,0
2018-11-05,2018-11-30,153,0
