Date,Ticker,Open,High,Low,Close,Volume
,,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,AAPL,24.694225318912363,24.705310574622093,23.798591119762563,24.23754119873047,212818400
2015-01-05,AAPL,24.00699407808688,24.08680322434,23.368522599435355,23.55474281311035,257142000
2015-01-06,AAPL,23.61903255400942,23.816338020280458,23.19560061965636,23.55695915222168,263188400
2015-01-07,AAPL,23.76534460966741,23.987036263456744,23.654498782772745,23.88727569580078,160423600
2015-01-08,AAPL,24.21538332281689,24.8627226324375,24.097885309857276,24.805082321166992,237458000
2015-01-09,AAPL,24.97800165194986,25.106583234710648,24.432640311803063,24.83168601989746,214798000
2015-01-12,AAPL,24.962488900263498,24.96913938166108,24.120061326220533,24.21982192993164,198603200
2015-01-13,AAPL,24.703103135568583,25.006821335803178,24.144440865044796,24.434856414794922,268367600
2015-01-14,AAPL,24.17325355597236,24.49470571656431,24.05353988262406,24.341739654541016,195826400
2015-01-15,AAPL,24.386080326054127,24.39938128317444,23.645631062558422,23.681100845336914,240056000
2015-01-16,AAPL,23.727656529493125,23.849587610976112,23.321960412602127,23.49709701538086,314053200
2015-01-20,AAPL,23.907226172730866,24.157738813931655,23.610160180441635,24.10231590270996,199599600
2015-01-21,AAPL,24.153307189951693,24.62107675709558,24.00255678407537,24.28632354736328,194303600
2015-01-22,AAPL,24.443724184160846,24.933662575431267,24.324010478532255,24.91814422607422,215185600
2015-01-23,AAPL,24.89597771577307,25.21742999298039,24.72527416557457,25.046728134155273,185859200
2015-01-26,AAPL,25.215206718108252,25.35265614411919,25.00681772616178,25.07332420349121,222460000
2015-01-27,AAPL,24.922579223516976,24.935881874965276,24.171044534562267,24.195430755615234,382274800
2015-01-28,AAPL,26.077587486100576,26.186217609496115,25.563262939453125,25.563262939453125,585908400
2015-01-29,AAPL,25.787173604889798,26.42342927258917,25.61868747113395,26.35913848876953,337745600
2015-01-30,AAPL,26.248295420011285,26.603001772030364,25.904672637239905,25.973398208618164,334982000
2015-02-02,AAPL,26.1707059874969,26.418999610212815,25.733973065775352,26.299285888671875,250956400
2015-02-03,AAPL,26.270458761306564,26.401256014166293,26.07315334136271,26.303712844848633,207662800
2015-02-04,AAPL,26.270458611746253,26.716059269378018,26.22833666007458,26.505451202392578,280598800
2015-02-05,AAPL,26.712441335234317,26.75918181333036,26.541065808392663,26.694637298583984,168984800
2015-02-06,AAPL,26.71244351282826,26.763634579747894,26.363014006611284,26.469846725463867,174826400
2015-02-09,AAPL,26.385267458693313,26.672376838687786,26.35855885909115,26.64566993713379,155559200
2015-02-10,AAPL,26.74582961803202,27.1865122612424,26.743605174485186,27.157577514648438,248034000
2015-02-11,AAPL,27.324499427159374,27.803017933868055,27.26440719517657,27.79411506652832,294247200
2015-02-12,AAPL,28.056747852813622,28.3727937468732,27.947690683382778,28.145774841308594,297898000
2015-02-13,AAPL,28.328280346900737,28.328280346900737,27.965497351910535,28.283767700195312,217088800
2015-02-17,AAPL,28.375010080839985,28.68437915950236,28.248147210358212,28.45068359375,252609600
2015-02-18,AAPL,28.406174714937425,28.662126646062973,28.36611265877822,28.648773193359375,179566800
2015-02-19,AAPL,28.595356993921015,28.717769308178198,28.56197336098585,28.588680267333984,149449600
2015-02-20,AAPL,28.626520334703407,28.82238006591797,28.49965911505575,28.82238006591797,195793600
2015-02-23,AAPL,28.938118341303372,29.60136604309082,28.857994207147335,29.60136604309082,283896400
2015-02-24,AAPL,29.588003202840323,29.73489796822131,29.19405938517191,29.4166259765625,276912400
2015-02-25,AAPL,29.2808589853591,29.2897635504534,28.52190612565482,28.664348602294922,298846800
2015-02-26,AAPL,28.66435120069195,29.1272901407614,28.179157638062435,29.027135848999023,365150000
2015-02-27,AAPL,28.933664924326695,29.06052954681406,28.541948837177106,28.590913772583008,248059200
2015-03-02,AAPL,28.766728714230968,28.995972005991295,28.55529115531855,28.731117248535156,192386800
2015-03-03,AAPL,28.702190613855443,28.826827368145587,28.508555359921896,28.791215896606445,151265200
2015-03-04,AAPL,28.73334756867589,28.835726296270856,28.559745903539564,28.608707427978516,126665200
2015-03-05,AAPL,28.617608768951783,28.65544467672154,27.989971135993283,28.134639739990234,226068400
2015-03-06,AAPL,28.577544441281503,28.7934342723596,28.101253845178082,28.176925659179688,291368400
2015-03-09,AAPL,28.479621776355522,28.83795583428651,27.834178300278573,28.297117233276367,354114000
2015-03-10,AAPL,28.134640193516542,28.314918567129887,27.5537413251534,27.711763381958008,275426400
2015-03-11,AAPL,27.765183710100228,27.769634295016655,27.177608014323546,27.206541061401367,275756000
2015-03-12,AAPL,27.222128939008684,27.798577498875627,27.070783535071506,27.698421478271484,193450800
2015-03-13,AAPL,27.687281955206664,27.909848527679312,27.28221086122838,27.507001876831055,207309200
2015-03-16,AAPL,27.571551892676595,27.8096981048584,27.34676083218295,27.8096981048584,143497200
2015-03-17,AAPL,28.021136490309935,28.33718066843354,27.965494837905844,28.27486228942871,204092400
2015-03-18,AAPL,28.265960723494878,28.746705437477463,28.12574436427423,28.5931339263916,261083600
2015-03-19,AAPL,28.655451307109757,28.766734613156785,28.354986720392482,28.377243041992188,183238000
2015-03-20,AAPL,28.544158729733095,28.57754235226519,27.85642893680488,28.021127700805664,274780400
2015-03-23,AAPL,28.292668184343317,28.455140859366967,28.15912685938606,28.312698364257812,150838800
2015-03-24,AAPL,28.31715043665406,28.497427148688423,28.168029517967973,28.196964263916016,131369200
2015-03-25,AAPL,28.16357737452431,28.225895749966426,27.46026611328125,27.46026611328125,206620800
2015-03-26,AAPL,27.32227287996862,27.794112926303246,27.286661413351865,27.651670455932617,190291600
2015-03-27,AAPL,27.725121386932106,27.754054433731582,27.355661712679918,27.431333541870117,158184800
2015-03-30,AAPL,27.60939312960263,28.132424408359668,27.598264118077452,28.125747680664062,188398800
2015-03-31,AAPL,28.06342950124279,28.152456505350326,27.67839012819735,27.6939697265625,168362400
2015-04-01,AAPL,27.780768789300975,27.847539462569245,27.39795388506692,27.653905868530273,162485600
2015-04-02,AAPL,27.827507166393538,27.94546721576615,27.640552000908354,27.892051696777344,128880400
2015-04-06,AAPL,27.702867464536038,28.379470193137237,27.671708273578293,28.34385871887207,148776000
2015-04-07,AAPL,28.408399076017474,28.51523008704785,28.038939423968984,28.045616149902344,140049200
2015-04-08,AAPL,28.010006426922278,28.13241873682573,27.81414842912516,27.954364776611328,149316800
2015-04-09,AAPL,28.010011488182474,28.172485883590006,27.74515833951772,28.168033599853516,129936000
2015-04-10,AAPL,28.032259917310526,28.312694282018718,27.878690132629572,28.288211822509766,160752000
2015-04-13,AAPL,28.570873036627983,28.615389073008984,28.179157047591232,28.232572555541992,145460400
2015-04-14,AAPL,28.265960596322643,28.330505119560385,28.02336379681908,28.110164642333984,102098400
2015-04-15,AAPL,28.1346447764979,28.294891302452985,28.045617796712808,28.21699333190918,115881600
2015-04-16,AAPL,28.105714536739242,28.288219110430457,28.067878616131612,28.08123207092285,113476000
2015-04-17,AAPL,27.94324604675518,28.074559566752196,27.7006474939122,27.76519203186035,207828000
2015-04-20,AAPL,27.947691810904374,28.51523570161574,27.858664818817697,28.39950180053711,188217200
2015-04-21,AAPL,28.51077875560492,28.533033374775517,28.19250679698887,28.24592399597168,129740400
2015-04-22,AAPL,28.263737144871563,28.68216181687359,28.11461790356777,28.62652015686035,150618000
2015-04-23,AAPL,28.555299039914537,29.027139204330012,28.519687564385798,28.860214233398438,183083600
2015-04-24,AAPL,29.042721704515355,29.07388089787269,28.762285568201946,28.995981216430664,178103600
2015-04-27,AAPL,29.44778855346286,29.63029480953917,29.189610462665815,29.523460388183594,387816800
2015-04-28,AAPL,29.926313917585805,29.944116261415125,28.837963110770552,29.05830192565918,475696000
2015-04-29,AAPL,28.969272216185253,29.287540854217855,28.55529816511329,28.630970001220703,253544400
2015-04-30,AAPL,28.63096684646575,28.63096684646575,27.727347007781397,27.854209899902344,332781600
2015-05-01,AAPL,28.06565373617916,28.962598746405533,27.887601438112053,28.699968338012695,234050400
2015-05-04,AAPL,28.822373486021608,29.06052136811745,28.546389691051004,28.644319534301758,203953200
2015-05-05,AAPL,28.521909885353836,28.58868054797657,27.994428103218496,27.99888038635254,197085600
2015-05-06,AAPL,28.168038322654997,28.210326534998327,27.455825629787853,27.823060989379883,288564000
2015-05-07,AAPL,27.885627588016693,28.178408847882512,27.718005393148463,27.995141983032227,175763600
2015-05-08,AAPL,28.31250930678528,28.52259635925293,28.185116493194354,28.52259635925293,222201600
2015-05-11,AAPL,28.47118127521397,28.50917522063893,28.07782747895472,28.232040405273438,168143200
2015-05-12,AAPL,28.071132405524015,28.35720737088283,27.896805580079814,28.13147735595703,192640000
2015-05-13,AAPL,28.1940529348982,28.426489244926348,28.13147425626391,28.162763595581055,138776800
2015-05-14,AAPL,28.475666191174675,28.819849014282227,28.419792112662968,28.819849014282227,180814000
2015-05-15,AAPL,28.846664964717725,28.94053298809923,28.65445803771301,28.77961540222168,152832000
2015-05-18,AAPL,28.69245333007435,29.21543380338683,28.68798244962446,29.096981048583984,203531600
2015-05-19,AAPL,29.208728417205545,29.25119325465269,28.97405664887513,29.070161819458008,178532800
2015-05-20,AAPL,29.054517175347726,29.273542580713503,28.9070088081435,29.06792640686035,145819600
2015-05-21,AAPL,29.07015627487437,29.418809848051335,29.01651595196952,29.365169525146484,158921600
2015-05-22,AAPL,29.412104978364436,29.718293719532653,29.36740300452463,29.622188568115234,182384000
2015-05-26,AAPL,29.63561261213203,29.704895923853893,28.85784298370326,28.96959114074707,282790400
2015-05-27,AAPL,29.13050544712361,29.559617912141146,29.065693023932944,29.510448455810547,183332800
2015-05-28,AAPL,29.47022500931458,29.490338859726943,29.300369033138132,29.45234489440918,122933200
2015-05-29,AAPL,29.329422501263352,29.37859196680378,29.032171972417448,29.117101669311523,203538000
2015-06-01,AAPL,29.117097420954007,29.36517844806299,29.06569422731027,29.17520523071289,128451200
2015-06-02,AAPL,29.023228916733252,29.202026634245364,28.902542418325194,29.04557991027832,134670400
2015-06-03,AAPL,29.20202305429558,29.264601736210718,29.032163708855297,29.08133316040039,123934000
2015-06-04,AAPL,28.96064558494527,29.184141843439722,28.810903500987855,28.911476135253906,153800400
2015-06-05,AAPL,28.94276362272491,28.985228454766315,28.687978040758537,28.752790451049805,142507200
2015-06-08,AAPL,28.808664254815543,28.877950954532867,28.346028806818655,28.562820434570312,210699200
2015-06-09,AAPL,28.316978141433584,28.625404100730464,28.075603453683758,28.477895736694336,224301600
2015-06-10,AAPL,28.589641307592938,28.907005589086815,28.573996637523273,28.80419921875,156349200
2015-06-11,AAPL,28.871247590572576,29.09474386884714,28.714800877836893,28.7393856048584,141563600
2015-06-12,AAPL,28.64998902911091,28.681278372282137,28.408612634526005,28.422021865844727,147544800
2015-06-15,AAPL,28.18288490012055,28.437670562082815,28.095721473930382,28.366151809692383,175955600
2015-06-16,AAPL,28.390736517876093,28.5740034273007,28.243229837188753,28.518129348754883,125976400
2015-06-17,AAPL,28.54494644753539,28.58070496728181,28.325919332951088,28.451078414916992,131672400
2015-06-18,AAPL,28.435436312453145,28.67681103169269,28.433200871910305,28.580707550048828,141628800
2015-06-19,AAPL,28.54270337336427,28.567288095114026,28.24992385725104,28.29462242126465,218867600
2015-06-22,AAPL,28.493542684270917,28.6209355065051,28.40191008834739,28.520362854003906,136157200
2015-06-23,AAPL,28.491304245213126,28.520358145437797,28.3572051238287,28.390729904174805,121075600
2015-06-24,AAPL,28.430961694475176,29.009817948797807,28.410847847657895,28.632108688354492,221123600
2015-06-25,AAPL,28.79973222259295,28.87572014313876,28.495777130126953,28.495777130126953,127752400
2015-06-26,AAPL,28.533762094696765,28.60528081713308,28.274507365292937,28.32814598083496,176267200
2015-06-29,AAPL,28.039842802194055,28.265574520163497,27.82081740487586,27.83199119567871,196645600
2015-06-30,AAPL,28.06443334615184,28.18735700645088,27.905751160674118,28.033143997192383,177482800
2015-07-01,AAPL,28.361671972425974,28.37061202625688,28.158289584339958,28.29462242126465,120955200
