Date,AUTO.L,PSN.L,SMT.L
2008-12-10,,239.54335021972656,68.081787109375
2008-12-11,,235.5716552734375,68.081787109375
2008-12-12,,236.8127899169922,65.73583984375
2008-12-15,,237.30926513671875,66.88387298583984
2008-12-16,,237.80577087402344,66.93376159667969
2008-12-17,,243.26681518554688,68.88037872314453
2008-12-18,,251.95489501953125,71.17640686035156
2008-12-19,,233.08932495117188,69.62908935546875
2008-12-22,,238.30221557617188,68.88037872314453
2008-12-23,,250.21731567382812,68.23153686523438
2008-12-24,,240.28805541992188,68.28141784667969
2008-12-29,,234.82696533203125,68.58091735839844
2008-12-30,,232.09642028808594,69.47936248779297
2008-12-31,,228.12472534179688,72.07484436035156
2009-01-02,,248.9761199951172,73.27277374267578
2009-01-05,,262.1324157714844,74.37088012695312
2009-01-06,,262.38067626953125,76.66690063476562
2009-01-07,,277.7709655761719,74.9698257446289
2009-01-08,,290.9272766113281,73.472412109375
2009-01-09,,288.693115234375,71.87523651123047
2009-01-12,,297.38134765625,72.2745132446289
2009-01-13,,298.12603759765625,69.22979736328125
2009-01-14,,291.17547607421875,68.23153686523438
2009-01-15,,292.16845703125,64.38821411132812
2009-01-16,,295.3954162597656,65.386474609375
2009-01-19,,285.96270751953125,66.08525848388672
2009-01-20,,278.76385498046875,65.23670196533203
2009-01-21,,287.948486328125,63.38993453979492
2009-01-22,,280.2533264160156,65.2866439819336
2009-01-23,,268.3381652832031,65.58612060546875
2009-01-26,,291.4237365722656,68.88037872314453
2009-01-27,,291.4237365722656,66.28489685058594
2009-01-28,,304.5799560546875,66.68419647216797
2009-01-29,,285.7144470214844,67.48281860351562
2009-01-30,,286.7073669433594,66.13516235351562
2009-02-02,,282.7355651855469,64.93721771240234
2009-02-03,,292.91314697265625,66.28489685058594
2009-02-04,,316.246826171875,66.13516235351562
2009-02-05,,315.5020751953125,66.63430786132812
2009-02-06,,338.3394775390625,67.78228759765625
2009-02-09,,351.2475280761719,70.22806549072266
2009-02-10,,322.94915771484375,68.9303207397461
2009-02-11,,319.72210693359375,68.58091735839844
2009-02-12,,327.1690368652344,68.18160247802734
2009-02-13,,329.8996276855469,68.58091735839844
2009-02-16,,316.246826171875,68.081787109375
2009-02-17,,299.118896484375,66.48452758789062
2009-02-18,,309.0481262207031,64.68767547607422
2009-02-19,,295.3954162597656,63.48975372314453
2009-02-20,,283.2320556640625,60.59479904174805
2009-02-23,,294.1542053222656,59.84608459472656
2009-02-24,,292.16845703125,58.24885559082031
2009-02-25,,314.75750732421875,59.09737777709961
2009-02-26,,340.573486328125,59.496700286865234
2009-02-27,,341.8147277832031,58.24885559082031
2009-03-02,,344.79351806640625,58.0991096496582
2009-03-03,,372.8436584472656,58.29877853393555
2009-03-04,,364.6520690917969,60.544883728027344
2009-03-05,,332.3819274902344,59.59652328491211
2009-03-06,,329.8996276855469,58.4984245300293
2009-03-09,,329.65142822265625,57.10086441040039
2009-03-10,,344.29705810546875,60.894264221191406
2009-03-11,,329.4031677246094,64.08871459960938
2009-03-12,,315.9986572265625,64.73759460449219
2009-03-13,,330.1478576660156,67.88212585449219
2009-03-16,,337.84295654296875,68.68074798583984
2009-03-17,,338.09124755859375,68.68074798583984
2009-03-18,,333.3748474121094,66.98371124267578
2009-03-19,,347.5240478515625,66.78404235839844
2009-03-20,,352.4886779785156,67.88212585449219
2009-03-23,,359.93560791015625,70.07832336425781
2009-03-24,,358.6944885253906,70.3777847290039
2009-03-25,,353.48162841796875,69.87865447998047
2009-03-26,,352.4886779785156,70.2779769897461
2009-03-27,,336.6018371582031,71.87523651123047
2009-03-30,,329.65142822265625,67.68247985839844
2009-03-31,,343.055908203125,70.4776382446289
2009-04-01,,358.4461669921875,69.87865447998047
2009-04-02,,399.9007568359375,71.77536010742188
2009-04-03,,395.4327087402344,72.47415161132812
2009-04-06,,405.8583984375,72.72373962402344
2009-04-07,,394.4397888183594,71.67552947998047
2009-04-08,,398.1632995605469,71.92510223388672
2009-04-09,,407.09967041015625,72.92340087890625
2009-04-14,,408.5889587402344,73.27277374267578
2009-04-15,,385.0069885253906,75.26931762695312
2009-04-16,,387.2410888671875,77.86479949951172
2009-04-17,,386.9927978515625,78.513671875
2009-04-20,,365.396728515625,76.86652374267578
2009-04-21,,376.81536865234375,76.2676010131836
2009-04-22,,392.2056884765625,76.66690063476562
2009-04-23,,389.2268981933594,77.41558074951172
2009-04-24,,394.4397888183594,81.05925750732422
2009-04-27,,388.2340087890625,80.85958099365234
2009-04-28,,363.6590576171875,80.46029663085938
2009-04-29,,367.6308288574219,80.36046600341797
2009-04-30,,379.7941589355469,82.20726013183594
2009-05-01,,376.0706481933594,82.5566635131836
2009-05-05,,402.3831481933594,85.45162200927734
2009-05-06,,388.9787292480469,87.19857788085938
2009-05-07,,398.4114990234375,86.25022888183594
2009-05-08,,393.4468994140625,87.34833526611328
2009-05-11,,372.3470764160156,85.55144500732422
2009-05-12,,377.80828857421875,85.45162200927734
2009-05-13,,344.5452575683594,83.45509338378906
2009-05-14,,356.46038818359375,81.85786437988281
2009-05-15,,364.6520690917969,82.65648651123047
2009-05-18,,368.3755187988281,83.95423889160156
2009-05-19,,376.3188781738281,85.70120239257812
2009-05-20,,375.3260498046875,87.0488510131836
2009-05-21,,369.6166687011719,84.70293426513672
2009-05-22,,369.1200866699219,84.35352325439453
2009-05-26,,357.45330810546875,83.75455474853516
2009-05-27,,356.9568176269531,83.60482788085938
2009-05-28,,343.055908203125,83.35526275634766
2009-05-29,,361.42498779296875,83.85441589355469
2009-06-01,,379.0494079589844,88.79582977294922
2009-06-02,,387.9857177734375,88.047119140625
2009-06-03,,387.2410888671875,84.66358184814453
2009-06-04,,387.4892578125,84.06452941894531
2009-06-05,,393.695068359375,86.66034698486328
2009-06-08,,390.46807861328125,86.66034698486328
2009-06-09,,386.74462890625,86.56051635742188
2009-06-10,,403.3761291503906,85.76181030273438
2009-06-11,,399.4043884277344,85.61205291748047
2009-06-12,,387.2410888671875,85.46227264404297
2009-06-15,,369.3684997558594,82.26742553710938
2009-06-16,,361.67315673828125,82.0677490234375
2009-06-17,,356.46038818359375,80.27064514160156
2009-06-18,,349.75811767578125,79.82138061523438
2009-06-19,,361.92144775390625,79.87128448486328
2009-06-22,,356.9568176269531,77.27546691894531
2009-06-23,,349.75811767578125,76.72636413574219
2009-06-24,,347.27581787109375,78.47351837158203
2009-06-25,,350.5028076171875,78.17403411865234
2009-06-26,,345.5382080078125,78.12410736083984
2009-06-29,,345.0417175292969,79.82138061523438
2009-06-30,,347.5240478515625,78.57337188720703
2009-07-01,,352.7369384765625,81.11927032470703
2009-07-02,,350.9992980957031,79.87128448486328
2009-07-03,,355.9638671875,80.17082977294922
2009-07-06,,360.6803283691406,78.47351837158203
2009-07-07,,387.4892578125,78.07418060302734
2009-07-08,,383.02117919921875,75.2787094116211
2009-07-09,,386.74462890625,77.52508544921875
2009-07-10,,377.06365966796875,75.57820129394531
2009-07-13,,386.2481384277344,76.4268569946289
2009-07-14,,398.1632995605469,77.1257095336914
2009-07-15,,402.13494873046875,79.92121124267578
2009-07-16,,398.1632995605469,81.56854248046875
2009-07-17,,414.050048828125,83.31575012207031
2009-07-20,,420.5041198730469,83.41558837890625
2009-07-21,,421.2488098144531,85.61205291748047
2009-07-22,,424.47589111328125,86.01139068603516
2009-07-23,,431.17803955078125,87.10962677001953
2009-07-24,,435.14971923828125,86.76020812988281
2009-07-27,,424.47589111328125,86.46066284179688
2009-07-28,,412.0642395019531,85.51222229003906
2009-07-29,,411.0713195800781,85.06294250488281
2009-07-30,,443.58966064453125,87.05970764160156
2009-07-31,,447.0648193359375,88.15795135498047
2009-08-03,,458.4339599609375,89.15631866455078
