Date,EMN,HUBB,WRB
2008-12-10,9.208931922912598,20.366844177246094,6.0303826332092285
2008-12-11,8.812813758850098,19.86859130859375,6.032524108886719
2008-12-12,9.070751190185547,20.578433990478516,6.300111770629883
2008-12-15,9.030830383300781,20.353195190429688,6.1588239669799805
2008-12-16,9.580485343933105,21.43160057067871,6.4970574378967285
2008-12-17,9.626542091369629,22.38714027404785,6.432834625244141
2008-12-18,9.175151824951172,21.916200637817383,6.5677008628845215
2008-12-19,9.070751190185547,21.84112548828125,6.507760047912598
2008-12-22,8.754471778869629,21.725086212158203,6.490633010864258
2008-12-23,8.616289138793945,21.772869110107422,6.419990062713623
2008-12-24,8.769827842712402,21.97762680053711,6.469228267669678
2008-12-26,8.981700897216797,21.690961837768555,6.443538665771484
2008-12-29,8.9202880859375,21.342870712280273,6.507760047912598
2008-12-30,9.368605613708496,22.08000373840332,6.580544471740723
2008-12-31,9.737085342407227,22.30524444580078,6.636202335357666
2009-01-02,10.145483016967773,23.267610549926758,6.546292781829834
2009-01-05,10.142414093017578,23.615705490112305,6.554854393005371
2009-01-06,10.342007637023926,23.588409423828125,6.186653137207031
2009-01-07,9.875267028808594,23.090158462524414,5.959740161895752
2009-01-08,10.136270523071289,23.547462463378906,6.173809051513672
2009-01-09,9.893689155578613,23.069684982299805,6.045365810394287
2009-01-12,9.543636322021484,21.96397590637207,5.961881637573242
2009-01-13,9.512928009033203,22.141437530517578,6.210200309753418
2009-01-14,9.049254417419434,21.45889663696289,5.874109268188477
2009-01-15,9.190505027770996,21.936660766601562,5.863405704498291
2009-01-16,9.273415565490723,22.127779006958008,6.066773891448975
2009-01-20,8.471972465515137,21.11080551147461,5.737104415893555
2009-01-21,9.003195762634277,21.404296875,6.068914413452148
2009-01-22,8.775967597961426,21.336036682128906,5.677163600921631
2009-01-23,8.6930570602417,21.035728454589844,5.657895565032959
2009-01-26,8.487323760986328,21.27460289001465,5.675024032592773
2009-01-27,8.339929580688477,21.96397590637207,5.871969699859619
2009-01-28,8.82509708404541,22.86491584777832,5.919066429138184
2009-01-29,8.395203590393066,22.134611129760742,5.722121238708496
2009-01-30,7.968377590179443,21.15858268737793,5.6686015129089355
2009-02-02,7.771858215332031,20.940174102783203,5.565846920013428
2009-02-03,7.805637359619141,21.192710876464844,5.627927303314209
2009-02-04,7.679737091064453,21.206363677978516,5.364621162414551
2009-02-05,7.897757053375244,21.329212188720703,5.268290996551514
2009-02-06,8.091209411621094,21.86159324645996,5.565846920013428
2009-02-09,8.032866477966309,21.786508560180664,5.3132429122924805
2009-02-10,7.6183271408081055,20.885568618774414,4.934338092803955
2009-02-11,7.658241271972656,21.199533462524414,4.972870349884033
2009-02-12,7.639821529388428,21.376995086669922,5.073482513427734
2009-02-13,7.612181663513184,21.199533462524414,4.906508445739746
2009-02-17,7.249845504760742,20.00510025024414,4.784488201141357
2009-02-18,7.262125492095947,19.5205078125,4.722407341003418
2009-02-19,7.209926605224609,18.783361434936523,4.6217942237854
2009-02-20,7.028756618499756,18.210037231445312,4.5597124099731445
2009-02-23,6.586581230163574,17.9438419342041,4.454817771911621
2009-02-24,6.961202621459961,18.462566375732422,4.6303582191467285
2009-02-25,6.641852378845215,18.025753021240234,4.5832600593566895
2009-02-26,6.5405192375183105,17.554792404174805,4.525463581085205
2009-02-27,6.307150840759277,17.96432113647461,4.454817771911621
2009-03-02,5.864973545074463,16.763059616088867,4.35420560836792
2009-03-03,5.806631565093994,16.469560623168945,4.257874011993408
2009-03-04,5.966305255889893,17.24765396118164,4.304971218109131
2009-03-05,5.527199745178223,16.22332000732422,4.135851860046387
2009-03-06,5.607039928436279,16.22332000732422,4.167963027954102
2009-03-09,5.782064437866211,15.330485343933105,4.037380218505859
2009-03-10,6.365492343902588,16.08489227294922,4.337080955505371
2009-03-11,6.598865985870361,16.66627311706543,4.242887020111084
2009-03-12,7.156867027282715,17.330703735351562,4.4269890785217285
2009-03-13,7.323013782501221,17.386085510253906,4.523320198059082
2009-03-16,7.12551736831665,17.57987403869629,4.403442859649658
2009-03-17,7.344959259033203,17.877483367919922,4.661078929901123
2009-03-18,7.617692470550537,18.811845779418945,4.897244930267334
2009-03-19,7.780702590942383,18.334285736083984,4.873629093170166
2009-03-20,7.5738043785095215,17.559112548828125,4.81351375579834
2009-03-23,8.188237190246582,18.424257278442383,5.058269023895264
2009-03-24,8.188237190246582,18.175092697143555,4.721193790435791
2009-03-25,8.276005744934082,18.507320404052734,4.804926872253418
2009-03-26,8.627113342285156,19.455524444580078,4.841424465179443
2009-03-27,8.561280250549316,19.29633331298828,4.834983825683594
2009-03-30,8.25719928741455,18.27891731262207,4.631021022796631
2009-03-31,8.40140438079834,18.65958595275879,4.841424465179443
2009-04-01,8.887306213378906,19.39323616027832,4.942333698272705
2009-04-02,9.169442176818848,19.829273223876953,5.135559558868408
2009-04-03,9.426502227783203,19.86387825012207,5.245057106018066
2009-04-06,9.348128318786621,19.72545623779297,5.174206256866455
2009-04-07,9.044047355651855,19.240957260131836,5.081886291503906
2009-04-08,9.119287490844727,19.3793888092041,5.150587558746338
2009-04-09,9.724310874938965,20.175331115722656,5.337375640869141
2009-04-13,9.652206420898438,20.106121063232422,5.386755466461182
2009-04-14,9.602054595947266,19.76005744934082,5.12053108215332
2009-04-15,9.849702835083008,19.905410766601562,5.337375640869141
2009-04-16,10.185136795043945,20.341440200805664,5.324494361877441
2009-04-17,10.141247749328613,20.251466751098633,5.245057106018066
2009-04-20,9.476655960083008,19.704683303833008,5.021768569946289
2009-04-21,10.091084480285645,20.05074691772461,5.133411407470703
2009-04-22,10.297987937927246,20.223779678344727,4.8628950119018555
2009-04-23,10.379496574401855,21.178903579711914,4.940186977386475
2009-04-24,12.545677185058594,21.566486358642578,4.950921058654785
2009-04-27,12.119338035583496,22.07866859436035,4.8263959884643555
2009-04-28,12.323107719421387,21.988685607910156,5.021768569946289
2009-04-29,12.909321784973145,22.632362365722656,5.182792663574219
2009-04-30,12.439095497131348,22.97842025756836,5.133411407470703
2009-05-01,12.476705551147461,22.729259490966797,5.154884338378906
2009-05-04,13.247882843017578,23.54595184326172,5.279407024383545
2009-05-05,12.975152015686035,23.172210693359375,5.144148349761963
2009-05-06,13.172649383544922,23.5113468170166,5.03679895401001
2009-05-07,12.752578735351562,23.712068557739258,5.0969133377075195
2009-05-08,13.423429489135742,24.791770935058594,5.324494361877441
2009-05-11,12.758849143981934,23.70514678955078,5.133411407470703
2009-05-12,12.6553955078125,23.241424560546875,5.094766139984131
2009-05-13,12.03469467163086,22.10634994506836,5.017477035522461
2009-05-14,12.25100326538086,22.59082794189453,5.159175395965576
2009-05-15,11.918706893920898,22.68773078918457,5.107649803161621
2009-05-18,12.608373641967773,23.23450469970703,5.275113582611084
2009-05-19,12.98142147064209,22.708492279052734,4.957361221313477
2009-05-20,13.1318941116333,22.53546142578125,4.871482849121094
2009-05-21,12.633450508117676,21.92639923095703,4.81351375579834
2009-05-22,12.765117645263672,21.760286331176758,4.727634429931641
2009-05-26,13.128762245178223,22.812313079833984,4.794191837310791
