Date,^FTMC
2008-12-10,6264.39990234375
2008-12-11,6320.39990234375
2008-12-12,6173.0
2008-12-15,6204.89990234375
2008-12-16,6251.10009765625
2008-12-17,6307.7001953125
2008-12-18,6391.60009765625
2008-12-19,6285.10009765625
2008-12-22,6231.5
2008-12-23,6288.10009765625
2008-12-24,6315.7998046875
2008-12-29,6350.60009765625
2008-12-30,6451.2001953125
2008-12-31,6360.89990234375
2009-01-02,6627.2001953125
2009-01-05,6745.2001953125
2009-01-06,6879.0
2009-01-07,6762.2998046875
2009-01-08,6692.2998046875
2009-01-09,6653.89990234375
2009-01-12,6686.0
2009-01-13,6547.2998046875
2009-01-14,6363.60009765625
2009-01-15,6205.0
2009-01-16,6249.60009765625
2009-01-19,6215.5
2009-01-20,6142.10009765625
2009-01-21,6159.5
2009-01-22,6167.10009765625
2009-01-23,6088.10009765625
2009-01-26,6256.2001953125
2009-01-27,6258.60009765625
2009-01-28,6423.7998046875
2009-01-29,6272.60009765625
2009-01-30,6250.7998046875
2009-02-02,6052.39990234375
2009-02-03,6130.7998046875
2009-02-04,6321.7998046875
2009-02-05,6391.2001953125
2009-02-06,6561.7001953125
2009-02-09,6659.7001953125
2009-02-10,6495.7001953125
2009-02-11,6496.2998046875
2009-02-12,6501.89990234375
2009-02-13,6526.39990234375
2009-02-16,6461.89990234375
2009-02-17,6265.7001953125
2009-02-18,6245.7998046875
2009-02-19,6217.89990234375
2009-02-20,6008.7998046875
2009-02-23,5919.2998046875
2009-02-24,5905.7998046875
2009-02-25,6042.2001953125
2009-02-26,6123.7998046875
2009-02-27,6049.10009765625
2009-03-02,5860.5
2009-03-03,5850.7001953125
2009-03-04,6083.5
2009-03-05,5935.39990234375
2009-03-06,5831.60009765625
2009-03-09,5769.7998046875
2009-03-10,5954.7998046875
2009-03-11,6026.7001953125
2009-03-12,6061.7998046875
2009-03-13,6162.5
2009-03-16,6270.2998046875
2009-03-17,6211.7998046875
2009-03-18,6191.7001953125
2009-03-19,6261.60009765625
2009-03-20,6272.39990234375
2009-03-23,6391.2001953125
2009-03-24,6403.60009765625
2009-03-25,6371.10009765625
2009-03-26,6382.10009765625
2009-03-27,6351.5
2009-03-30,6224.2998046875
2009-03-31,6373.89990234375
2009-04-01,6541.0
2009-04-02,6816.10009765625
2009-04-03,6926.2001953125
2009-04-06,6885.5
2009-04-07,6720.0
2009-04-08,6718.39990234375
2009-04-09,6978.89990234375
2009-04-14,7152.2001953125
2009-04-15,7109.39990234375
2009-04-16,7224.7998046875
2009-04-17,7307.7001953125
2009-04-20,7016.7001953125
2009-04-21,6987.2998046875
2009-04-22,7160.0
2009-04-23,7181.5
2009-04-24,7369.7998046875
2009-04-27,7279.89990234375
2009-04-28,7155.2001953125
2009-04-29,7358.0
2009-04-30,7529.0
2009-05-01,7571.2998046875
2009-05-05,7836.7998046875
2009-05-06,7871.2001953125
2009-05-07,7784.2998046875
2009-05-08,7806.2001953125
2009-05-11,7610.39990234375
2009-05-12,7623.89990234375
2009-05-13,7371.2001953125
2009-05-14,7428.7998046875
2009-05-15,7472.89990234375
2009-05-18,7576.60009765625
2009-05-19,7698.2998046875
2009-05-20,7734.0
2009-05-21,7512.39990234375
2009-05-22,7541.5
2009-05-26,7530.0
2009-05-27,7588.10009765625
2009-05-28,7518.2998046875
2009-05-29,7572.0
2009-06-01,7758.60009765625
2009-06-02,7772.10009765625
2009-06-03,7688.2001953125
2009-06-04,7660.10009765625
2009-06-05,7747.2998046875
2009-06-08,7687.89990234375
2009-06-09,7691.7001953125
2009-06-10,7730.0
2009-06-11,7754.39990234375
2009-06-12,7691.39990234375
2009-06-15,7493.5
2009-06-16,7483.60009765625
2009-06-17,7309.10009765625
2009-06-18,7241.7001953125
2009-06-19,7334.2998046875
2009-06-22,7174.7998046875
2009-06-23,7193.0
2009-06-24,7320.89990234375
2009-06-25,7343.2998046875
2009-06-26,7386.2998046875
2009-06-29,7477.2001953125
2009-06-30,7414.60009765625
2009-07-01,7506.7001953125
2009-07-02,7374.0
2009-07-03,7377.0
2009-07-06,7320.39990234375
2009-07-07,7318.5
2009-07-08,7196.7998046875
2009-07-09,7234.0
2009-07-10,7184.39990234375
2009-07-13,7278.7998046875
2009-07-14,7411.10009765625
2009-07-15,7572.2998046875
2009-07-16,7554.10009765625
2009-07-17,7580.7001953125
2009-07-20,7580.60009765625
2009-07-21,7742.60009765625
2009-07-22,7794.10009765625
2009-07-23,7887.2001953125
2009-07-24,7938.39990234375
2009-07-27,7876.89990234375
2009-07-28,7731.2001953125
2009-07-29,7762.60009765625
2009-07-30,7934.60009765625
2009-07-31,8000.0
2009-08-03,8158.2001953125
2009-08-04,8242.5
2009-08-05,8266.099609375
2009-08-06,8377.599609375
2009-08-07,8421.5
2009-08-10,8421.0
2009-08-11,8302.7001953125
2009-08-12,8351.900390625
2009-08-13,8483.7001953125
2009-08-14,8515.7998046875
2009-08-17,8274.099609375
2009-08-18,8354.5
2009-08-19,8370.2998046875
2009-08-20,8531.400390625
2009-08-21,8678.7998046875
2009-08-24,8831.900390625
2009-08-25,8860.7998046875
2009-08-26,8783.2001953125
2009-08-27,8701.2998046875
2009-08-28,8817.5
2009-09-01,8619.7001953125
2009-09-02,8519.900390625
2009-09-03,8604.7998046875
2009-09-04,8745.900390625
2009-09-07,8936.5
2009-09-08,9035.2998046875
2009-09-09,9137.099609375
2009-09-10,9125.7001953125
2009-09-11,9207.900390625
2009-09-14,9123.099609375
2009-09-15,9164.2001953125
2009-09-16,9305.2001953125
2009-09-17,9364.099609375
2009-09-18,9306.900390625
2009-09-21,9220.7001953125
2009-09-22,9248.7001953125
2009-09-23,9217.0
2009-09-24,9093.0
2009-09-25,9060.400390625
2009-09-28,9169.400390625
2009-09-29,9215.599609375
2009-09-30,9142.2998046875
2009-10-01,9064.2998046875
2009-10-02,8900.0
2009-10-05,8982.5
2009-10-06,9201.2001953125
2009-10-07,9226.400390625
2009-10-08,9373.400390625
2009-10-09,9377.2998046875
2009-10-12,9460.099609375
2009-10-13,9388.7998046875
2009-10-14,9541.2998046875
2009-10-15,9485.2001953125
2009-10-16,9426.2001953125
2009-10-19,9546.599609375
2009-10-20,9486.2998046875
2009-10-21,9421.0
2009-10-22,9318.900390625
2009-10-23,9323.7001953125
2009-10-26,9186.099609375
2009-10-27,9141.2998046875
2009-10-28,8849.5
2009-10-29,8962.400390625
2009-10-30,8885.7998046875
2009-11-02,8917.900390625
2009-11-03,8756.7001953125
2009-11-04,8992.7998046875
2009-11-05,9020.400390625
2009-11-06,9082.7001953125
2009-11-09,9202.599609375
2009-11-10,9121.0
2009-11-11,9226.599609375
2009-11-12,9295.900390625
2009-11-13,9373.7001953125
