Ticker,Sector
TEM.L,Investment Trusts
TRIG.L,Investment Trusts
THG.L,Personal Products
TCAP.L,Support Services
TRN.L,Industrial Transportation
TPK.L,Support Services
BBOX.L,Real Estate Investment Trusts
TRY.L,Investment Trusts
TRST.L,Technology
TFIF.L,Investment Trusts
UTG.L,Real estate investment trusts
VSVS.L,General Industrials
VCT.L,Chemicals
VEIL.L,General Financial
VOF.L,General Financial
VTY.L,Home Construction
FAN.L,Construction & Materials
WPS.L,Financial Services
WOSG.L,Personal Goods
JDW.L,Travel & Leisure
SMWH.L,Retailers
WIX.L,Retailers
WIZZ.L,Travel & Leisure
WKP.L,Real Estate Investment Trusts
WWH.L,Investment Trusts
XPS.L,Financial Services
ZIG.L,Support Services
