Date,PSN.L,SMT.L
2004-03-10,612.8099975585938,63.031150817871094
2004-03-11,612.0663452148438,62.03382110595703
2004-03-12,626.43896484375,62.03382110595703
2004-03-15,629.6605224609375,61.235965728759766
2004-03-16,626.43896484375,61.03649139404297
2004-03-17,662.1221923828125,61.5351448059082
2004-03-18,645.767578125,61.335693359375
2004-03-19,674.0167236328125,61.43540954589844
2004-03-22,670.0517578125,59.839691162109375
2004-03-23,654.6881713867188,59.98929977416992
2004-03-24,680.4594116210938,59.93941879272461
2004-03-25,688.3890991210938,60.93675231933594
2004-03-26,685.9111328125,60.53781509399414
2004-03-29,681.9462280273438,60.93675231933594
2004-03-30,688.8843994140625,60.93675231933594
2004-03-31,684.9197387695312,60.837013244628906
2004-04-01,705.2394409179688,61.335693359375
2004-04-02,712.1777954101562,61.934078216552734
2004-04-05,700.7789306640625,61.834346771240234
2004-04-06,683.9286499023438,61.834346771240234
2004-04-07,668.5650024414062,61.834346771240234
2004-04-08,685.4154052734375,62.03382110595703
2004-04-09,685.4154052734375,62.03382110595703
2004-04-12,685.4154052734375,62.03382110595703
2004-04-13,683.9286499023438,62.432743072509766
2004-04-14,662.617919921875,62.13353729248047
2004-04-15,657.1661987304688,62.73194122314453
2004-04-16,645.2718505859375,62.931400299072266
2004-04-19,658.6532592773438,62.68207550048828
2004-04-20,674.0167236328125,63.430076599121094
2004-04-21,672.5299072265625,62.432743072509766
2004-04-22,662.617919921875,63.13087844848633
2004-04-23,673.025390625,63.479949951171875
2004-04-26,671.04296875,63.430076599121094
2004-04-27,672.5299072265625,63.829010009765625
2004-04-28,673.025390625,62.48261260986328
2004-04-29,662.1221923828125,62.183406829833984
2004-04-30,650.2276611328125,61.98395538330078
2004-05-03,650.2276611328125,61.98395538330078
2004-05-04,657.1661987304688,61.834346771240234
2004-05-05,650.2276611328125,61.834346771240234
2004-05-06,656.1748657226562,61.5351448059082
2004-05-07,633.37744140625,61.03649139404297
2004-05-10,604.6326293945312,59.04183578491211
2004-05-11,611.075439453125,59.839691162109375
2004-05-12,611.075439453125,59.04183578491211
2004-05-13,602.154296875,59.54049301147461
2004-05-14,594.720458984375,59.54049301147461
2004-05-17,579.35693359375,58.44342803955078
2004-05-18,597.6941528320312,58.094364166259766
2004-05-19,601.6588134765625,58.692752838134766
2004-05-20,596.7028198242188,58.243961334228516
2004-05-21,598.685302734375,59.291160583496094
